"","Index","From.Date","To.Date","NOx"
"2020-12-30 13:15:00","  70","2020-12-30 13:15:00","2020-12-30 13:30:00","36.67492565511"
"2020-12-30 13:30:00","  71","2020-12-30 13:30:00","2020-12-30 13:45:00","38.1549129239928"
"2020-12-30 13:45:00","  72","2020-12-30 13:45:00","2020-12-30 14:00:00","30.3890887788668"
"2020-12-30 14:00:00","  73","2020-12-30 14:00:00","2020-12-30 14:15:00","32.6494113411081"
"2020-12-30 14:15:00","  74","2020-12-30 14:15:00","2020-12-30 14:30:00","40.7642053671804"
"2020-12-30 14:30:00","  75","2020-12-30 14:30:00","2020-12-30 14:45:00","41.1956583974495"
"2020-12-30 14:45:00","  76","2020-12-30 14:45:00","2020-12-30 15:00:00","50.4493105979602"
"2020-12-30 15:00:00","  77","2020-12-30 15:00:00","2020-12-30 15:15:00","42.4259746731639"
"2020-12-30 15:15:00","  78","2020-12-30 15:15:00","2020-12-30 15:30:00","41.1619641092082"
"2020-12-30 15:30:00","  79","2020-12-30 15:30:00","2020-12-30 15:45:00","44.361920772924"
"2020-12-30 15:45:00","  80","2020-12-30 15:45:00","2020-12-30 16:00:00","45.6599384154988"
"2020-12-30 16:00:00","  81","2020-12-30 16:00:00","2020-12-30 16:15:00","47.2835674729954"
"2020-12-30 16:15:00","  82","2020-12-30 16:15:00","2020-12-30 16:30:00","54.6731302551134"
"2020-12-30 16:30:00","  83","2020-12-30 16:30:00","2020-12-30 16:45:00","57.8016618933155"
"2020-12-30 16:45:00","  84","2020-12-30 16:45:00","2020-12-30 17:00:00","68.1686799031625"
"2020-12-30 17:00:00","  85","2020-12-30 17:00:00","2020-12-30 17:15:00","76.4252493934288"
"2020-12-30 17:15:00","  86","2020-12-30 17:15:00","2020-12-30 17:30:00","98.6881132492139"
"2020-12-30 17:30:00","  87","2020-12-30 17:30:00","2020-12-30 17:45:00","99.4366835461982"
"2020-12-30 17:45:00","  88","2020-12-30 17:45:00","2020-12-30 18:00:00","97.6034050881943"
"2020-12-30 18:00:00","  89","2020-12-30 18:00:00","2020-12-30 18:15:00","118.128979530927"
"2020-12-30 18:15:00","  90","2020-12-30 18:15:00","2020-12-30 18:30:00","143.949658988337"
"2020-12-30 18:30:00","  91","2020-12-30 18:30:00","2020-12-30 18:45:00","139.844202623271"
"2020-12-30 18:45:00","  92","2020-12-30 18:45:00","2020-12-30 19:00:00","115.492697369484"
"2020-12-30 19:00:00","  93","2020-12-30 19:00:00","2020-12-30 19:15:00","115.483671963324"
"2020-12-30 19:15:00","  94","2020-12-30 19:15:00","2020-12-30 19:30:00","90.9960150251628"
"2020-12-30 19:30:00","  95","2020-12-30 19:30:00","2020-12-30 19:45:00","89.2886025809512"
"2020-12-30 19:45:00","  96","2020-12-30 19:45:00","2020-12-30 20:00:00","84.1837259284558"
"2020-12-30 20:00:00","  97","2020-12-30 20:00:00","2020-12-30 20:15:00","81.9470486822501"
"2020-12-30 20:15:00","  98","2020-12-30 20:15:00","2020-12-30 20:30:00","80.5288015310822"
"2020-12-30 20:30:00","  99","2020-12-30 20:30:00","2020-12-30 20:45:00","78.7801583700642"
"2020-12-30 20:45:00"," 100","2020-12-30 20:45:00","2020-12-30 21:00:00","79.1438627653306"
"2020-12-30 21:00:00"," 101","2020-12-30 21:00:00","2020-12-30 21:15:00","75.275436653546"
"2020-12-30 21:15:00"," 102","2020-12-30 21:15:00","2020-12-30 21:30:00","71.3719594634801"
"2020-12-30 21:30:00"," 103","2020-12-30 21:30:00","2020-12-30 21:45:00","66.0207476063692"
"2020-12-30 21:45:00"," 104","2020-12-30 21:45:00","2020-12-30 22:00:00","65.5453226590262"
"2020-12-30 22:00:00"," 105","2020-12-30 22:00:00","2020-12-30 22:15:00","58.4348751602689"
"2020-12-30 22:15:00"," 106","2020-12-30 22:15:00","2020-12-30 22:30:00","54.9137059942519"
"2020-12-30 22:30:00"," 107","2020-12-30 22:30:00","2020-12-30 22:45:00","59.7740405668197"
"2020-12-30 22:45:00"," 108","2020-12-30 22:45:00","2020-12-30 23:00:00","49.7611755493893"
"2020-12-30 23:00:00"," 109","2020-12-30 23:00:00","2020-12-30 23:15:00","46.8819244433543"
"2020-12-30 23:15:00"," 110","2020-12-30 23:15:00","2020-12-30 23:30:00","39.8101782870486"
"2020-12-30 23:30:00"," 111","2020-12-30 23:30:00","2020-12-30 23:45:00","40.9041869755171"
"2020-12-30 23:45:00"," 112","2020-12-30 23:45:00","2020-12-31 00:00:00","37.4607922210931"
"2020-12-31"," 113","2020-12-31 00:00:00","2020-12-31 00:15:00","33.6499676211537"
"2020-12-31 00:15:00"," 114","2020-12-31 00:15:00","2020-12-31 00:30:00","33.3221494533536"
"2020-12-31 00:30:00"," 115","2020-12-31 00:30:00","2020-12-31 00:45:00","28.3836782538872"
"2020-12-31 00:45:00"," 116","2020-12-31 00:45:00","2020-12-31 01:00:00","30.2954557549211"
"2020-12-31 01:00:00"," 117","2020-12-31 01:00:00","2020-12-31 01:15:00","34.5744976496806"
"2020-12-31 01:15:00"," 118","2020-12-31 01:15:00","2020-12-31 01:30:00","32.9501589954896"
"2020-12-31 01:30:00"," 119","2020-12-31 01:30:00","2020-12-31 01:45:00","24.7092716036854"
"2020-12-31 01:45:00"," 120","2020-12-31 01:45:00","2020-12-31 02:00:00","27.6767021519848"
"2020-12-31 02:00:00"," 121","2020-12-31 02:00:00","2020-12-31 02:15:00","30.5397470432419"
"2020-12-31 02:15:00"," 122","2020-12-31 02:15:00","2020-12-31 02:30:00","25.1731220412135"
"2020-12-31 02:30:00"," 123","2020-12-31 02:30:00","2020-12-31 02:45:00","27.7445967211666"
"2020-12-31 02:45:00"," 124","2020-12-31 02:45:00","2020-12-31 03:00:00","27.4223476077201"
"2020-12-31 03:00:00"," 125","2020-12-31 03:00:00","2020-12-31 03:15:00","24.6176942640236"
"2020-12-31 03:15:00"," 126","2020-12-31 03:15:00","2020-12-31 03:30:00","26.497668530692"
"2020-12-31 03:30:00"," 127","2020-12-31 03:30:00","2020-12-31 03:45:00","26.2017510553239"
"2020-12-31 03:45:00"," 128","2020-12-31 03:45:00","2020-12-31 04:00:00","27.6727464553144"
"2020-12-31 04:00:00"," 129","2020-12-31 04:00:00","2020-12-31 04:15:00","28.1985512676744"
"2020-12-31 04:15:00"," 130","2020-12-31 04:15:00","2020-12-31 04:30:00","30.1984781886096"
"2020-12-31 04:30:00"," 131","2020-12-31 04:30:00","2020-12-31 04:45:00","30.0597019965746"
"2020-12-31 04:45:00"," 132","2020-12-31 04:45:00","2020-12-31 05:00:00","27.3135807028185"
"2020-12-31 05:00:00"," 133","2020-12-31 05:00:00","2020-12-31 05:15:00","21.1649218891657"
"2020-12-31 05:15:00"," 134","2020-12-31 05:15:00","2020-12-31 05:30:00","20.6335052765195"
"2020-12-31 05:30:00"," 135","2020-12-31 05:30:00","2020-12-31 05:45:00","22.6009981863208"
"2020-12-31 05:45:00"," 136","2020-12-31 05:45:00","2020-12-31 06:00:00","22.6028331753842"
"2020-12-31 06:00:00"," 137","2020-12-31 06:00:00","2020-12-31 06:15:00","27.113854819535"
"2020-12-31 06:15:00"," 138","2020-12-31 06:15:00","2020-12-31 06:30:00","21.6242093937756"
"2020-12-31 06:30:00"," 139","2020-12-31 06:30:00","2020-12-31 06:45:00","23.4517129261589"
"2020-12-31 06:45:00"," 140","2020-12-31 06:45:00","2020-12-31 07:00:00","23.7130954079211"
"2020-12-31 07:00:00"," 141","2020-12-31 07:00:00","2020-12-31 07:15:00","26.4718284216729"
"2020-12-31 07:15:00"," 142","2020-12-31 07:15:00","2020-12-31 07:30:00","23.8568465512137"
"2020-12-31 07:30:00"," 143","2020-12-31 07:30:00","2020-12-31 07:45:00","27.1592207752507"
"2020-12-31 07:45:00"," 144","2020-12-31 07:45:00","2020-12-31 08:00:00","29.6488884544848"
"2020-12-31 08:00:00"," 145","2020-12-31 08:00:00","2020-12-31 08:15:00","34.7809595954908"
"2020-12-31 08:15:00"," 146","2020-12-31 08:15:00","2020-12-31 08:30:00","38.921487853927"
"2020-12-31 08:30:00"," 147","2020-12-31 08:30:00","2020-12-31 08:45:00","39.3527817991567"
"2020-12-31 08:45:00"," 148","2020-12-31 08:45:00","2020-12-31 09:00:00","36.3758456502669"
"2020-12-31 09:00:00"," 149","2020-12-31 09:00:00","2020-12-31 09:15:00","32.4784530658351"
"2020-12-31 09:15:00"," 150","2020-12-31 09:15:00","2020-12-31 09:30:00","28.7425419434949"
"2020-12-31 09:30:00"," 151","2020-12-31 09:30:00","2020-12-31 09:45:00","32.9438694608621"
"2020-12-31 09:45:00"," 152","2020-12-31 09:45:00","2020-12-31 10:00:00","36.438538605243"
"2020-12-31 10:00:00"," 153","2020-12-31 10:00:00","2020-12-31 10:15:00","39.8470941998191"
"2020-12-31 10:15:00"," 154","2020-12-31 10:15:00","2020-12-31 10:30:00","43.2254909325049"
"2020-12-31 10:30:00"," 155","2020-12-31 10:30:00","2020-12-31 10:45:00","46.5821949301958"
"2020-12-31 10:45:00"," 156","2020-12-31 10:45:00","2020-12-31 11:00:00","41.8849259919001"
"2020-12-31 11:00:00"," 157","2020-12-31 11:00:00","2020-12-31 11:15:00","44.3785652169078"
"2020-12-31 11:15:00"," 158","2020-12-31 11:15:00","2020-12-31 11:30:00","41.6010367994019"
"2020-12-31 11:30:00"," 159","2020-12-31 11:30:00","2020-12-31 11:45:00","44.0756339463296"
"2020-12-31 11:45:00"," 160","2020-12-31 11:45:00","2020-12-31 12:00:00","116.122023634699"
"2020-12-31 12:00:00"," 161","2020-12-31 12:00:00","2020-12-31 12:15:00","193.234853965348"
"2020-12-31 12:15:00"," 162","2020-12-31 12:15:00","2020-12-31 12:30:00","270.191097546656"
"2020-12-31 12:30:00"," 163","2020-12-31 12:30:00","2020-12-31 12:45:00","346.654424998701"
"2020-12-31 12:45:00"," 164","2020-12-31 12:45:00","2020-12-31 13:00:00","381.862889667251"
"2020-12-31 13:00:00"," 165","2020-12-31 13:00:00","2020-12-31 13:15:00","382.64729367519"
"2020-12-31 13:15:00"," 166","2020-12-31 13:15:00","2020-12-31 13:30:00","60.0748898785893"
"2020-12-31 13:30:00"," 167","2020-12-31 13:30:00","2020-12-31 13:45:00","33.2659856973825"
"2020-12-31 13:45:00"," 168","2020-12-31 13:45:00","2020-12-31 14:00:00","33.5991380753225"
"2020-12-31 14:00:00"," 169","2020-12-31 14:00:00","2020-12-31 14:15:00","29.0207877977547"
"2020-12-31 14:15:00"," 170","2020-12-31 14:15:00","2020-12-31 14:30:00","29.6488791378855"
"2020-12-31 14:30:00"," 171","2020-12-31 14:30:00","2020-12-31 14:45:00","30.7349500404606"
"2020-12-31 14:45:00"," 172","2020-12-31 14:45:00","2020-12-31 15:00:00","35.2239576657543"
"2020-12-31 15:00:00"," 173","2020-12-31 15:00:00","2020-12-31 15:15:00","35.4590606299917"
"2020-12-31 15:15:00"," 174","2020-12-31 15:15:00","2020-12-31 15:30:00","35.55014669598"
"2020-12-31 15:30:00"," 175","2020-12-31 15:30:00","2020-12-31 15:45:00","35.8485107808967"
"2020-12-31 15:45:00"," 176","2020-12-31 15:45:00","2020-12-31 16:00:00","35.1262392410069"
"2020-12-31 16:00:00"," 177","2020-12-31 16:00:00","2020-12-31 16:15:00","39.5359169792266"
"2020-12-31 16:15:00"," 178","2020-12-31 16:15:00","2020-12-31 16:30:00","44.3802157254727"
"2020-12-31 16:30:00"," 179","2020-12-31 16:30:00","2020-12-31 16:45:00","49.1866250108236"
"2020-12-31 16:45:00"," 180","2020-12-31 16:45:00","2020-12-31 17:00:00","57.4350376937525"
"2020-12-31 17:00:00"," 181","2020-12-31 17:00:00","2020-12-31 17:15:00","71.1429543303361"
"2020-12-31 17:15:00"," 182","2020-12-31 17:15:00","2020-12-31 17:30:00","87.1285595167114"
"2020-12-31 17:30:00"," 183","2020-12-31 17:30:00","2020-12-31 17:45:00","108.92889729579"
"2020-12-31 17:45:00"," 184","2020-12-31 17:45:00","2020-12-31 18:00:00","104.16920100962"
"2020-12-31 18:00:00"," 185","2020-12-31 18:00:00","2020-12-31 18:15:00","121.012493782525"
"2020-12-31 18:15:00"," 186","2020-12-31 18:15:00","2020-12-31 18:30:00","140.886211927281"
"2020-12-31 18:30:00"," 187","2020-12-31 18:30:00","2020-12-31 18:45:00","124.465915043314"
"2020-12-31 18:45:00"," 188","2020-12-31 18:45:00","2020-12-31 19:00:00","130.919371160394"
"2020-12-31 19:00:00"," 189","2020-12-31 19:00:00","2020-12-31 19:15:00","176.345088285708"
"2020-12-31 19:15:00"," 190","2020-12-31 19:15:00","2020-12-31 19:30:00","219.104097554432"
"2020-12-31 19:30:00"," 191","2020-12-31 19:30:00","2020-12-31 19:45:00","261.372299970651"
"2020-12-31 19:45:00"," 192","2020-12-31 19:45:00","2020-12-31 20:00:00","247.511133668621"
"2020-12-31 20:00:00"," 193","2020-12-31 20:00:00","2020-12-31 20:15:00","258.874887568154"
"2020-12-31 20:15:00"," 194","2020-12-31 20:15:00","2020-12-31 20:30:00","272.335341812749"
"2020-12-31 20:30:00"," 195","2020-12-31 20:30:00","2020-12-31 20:45:00","228.993196910105"
"2020-12-31 20:45:00"," 196","2020-12-31 20:45:00","2020-12-31 21:00:00","217.843781831365"
"2020-12-31 21:00:00"," 197","2020-12-31 21:00:00","2020-12-31 21:15:00","183.269434704994"
"2020-12-31 21:15:00"," 198","2020-12-31 21:15:00","2020-12-31 21:30:00","149.054194994154"
"2020-12-31 21:30:00"," 199","2020-12-31 21:30:00","2020-12-31 21:45:00","151.084632837753"
"2020-12-31 21:45:00"," 200","2020-12-31 21:45:00","2020-12-31 22:00:00","124.7242331289"
"2020-12-31 22:00:00"," 201","2020-12-31 22:00:00","2020-12-31 22:15:00","121.73723491933"
"2020-12-31 22:15:00"," 202","2020-12-31 22:15:00","2020-12-31 22:30:00","121.189233964909"
"2020-12-31 22:30:00"," 203","2020-12-31 22:30:00","2020-12-31 22:45:00","99.925607289131"
"2020-12-31 22:45:00"," 204","2020-12-31 22:45:00","2020-12-31 23:00:00","83.6164807300031"
"2020-12-31 23:00:00"," 205","2020-12-31 23:00:00","2020-12-31 23:15:00","70.5975132381374"
"2020-12-31 23:15:00"," 206","2020-12-31 23:15:00","2020-12-31 23:30:00","69.9480938041201"
"2020-12-31 23:30:00"," 207","2020-12-31 23:30:00","2020-12-31 23:45:00","74.5064497036479"
"2020-12-31 23:45:00"," 208","2020-12-31 23:45:00","2021-01-01 00:00:00","68.6218897839725"
"2021-01-01"," 209","2021-01-01 00:00:00","2021-01-01 00:15:00","61.8721253530743"
"2021-01-01 00:15:00"," 210","2021-01-01 00:15:00","2021-01-01 00:30:00","55.0499200105533"
"2021-01-01 00:30:00"," 211","2021-01-01 00:30:00","2021-01-01 00:45:00","58.6761667589552"
"2021-01-01 00:45:00"," 212","2021-01-01 00:45:00","2021-01-01 01:00:00","54.200743093023"
"2021-01-01 01:00:00"," 213","2021-01-01 01:00:00","2021-01-01 01:15:00","60.0629720104263"
"2021-01-01 01:15:00"," 214","2021-01-01 01:15:00","2021-01-01 01:30:00","57.274646884163"
"2021-01-01 01:30:00"," 215","2021-01-01 01:30:00","2021-01-01 01:45:00","53.7733211387277"
"2021-01-01 01:45:00"," 216","2021-01-01 01:45:00","2021-01-01 02:00:00","46.9522074113658"
"2021-01-01 02:00:00"," 217","2021-01-01 02:00:00","2021-01-01 02:15:00","44.273437654713"
"2021-01-01 02:15:00"," 218","2021-01-01 02:15:00","2021-01-01 02:30:00","53.2223128197769"
"2021-01-01 02:30:00"," 219","2021-01-01 02:30:00","2021-01-01 02:45:00","41.1921010448796"
"2021-01-01 02:45:00"," 220","2021-01-01 02:45:00","2021-01-01 03:00:00","34.5496046415138"
"2021-01-01 03:00:00"," 221","2021-01-01 03:00:00","2021-01-01 03:15:00","34.0265329540401"
"2021-01-01 03:15:00"," 222","2021-01-01 03:15:00","2021-01-01 03:30:00","31.2961597550978"
"2021-01-01 03:30:00"," 223","2021-01-01 03:30:00","2021-01-01 03:45:00","28.3799943277116"
"2021-01-01 03:45:00"," 224","2021-01-01 03:45:00","2021-01-01 04:00:00","24.3256515542917"
"2021-01-01 04:00:00"," 225","2021-01-01 04:00:00","2021-01-01 04:15:00","23.4003021913319"
"2021-01-01 04:15:00"," 226","2021-01-01 04:15:00","2021-01-01 04:30:00","25.2425296425868"
"2021-01-01 04:30:00"," 227","2021-01-01 04:30:00","2021-01-01 04:45:00","22.885825341187"
"2021-01-01 04:45:00"," 228","2021-01-01 04:45:00","2021-01-01 05:00:00","18.2389053513627"
"2021-01-01 05:00:00"," 229","2021-01-01 05:00:00","2021-01-01 05:15:00","19.2704071675435"
"2021-01-01 05:15:00"," 230","2021-01-01 05:15:00","2021-01-01 05:30:00","18.2019663933249"
"2021-01-01 05:30:00"," 231","2021-01-01 05:30:00","2021-01-01 05:45:00","15.6870087945913"
"2021-01-01 05:45:00"," 232","2021-01-01 05:45:00","2021-01-01 06:00:00","18.221925709635"
"2021-01-01 06:00:00"," 233","2021-01-01 06:00:00","2021-01-01 06:15:00","19.1821998692722"
"2021-01-01 06:15:00"," 234","2021-01-01 06:15:00","2021-01-01 06:30:00","19.4096600206735"
"2021-01-01 06:30:00"," 235","2021-01-01 06:30:00","2021-01-01 06:45:00","26.093456623276"
"2021-01-01 06:45:00"," 236","2021-01-01 06:45:00","2021-01-01 07:00:00","33.3377245402039"
"2021-01-01 07:00:00"," 237","2021-01-01 07:00:00","2021-01-01 07:15:00","35.6002440299841"
"2021-01-01 07:15:00"," 238","2021-01-01 07:15:00","2021-01-01 07:30:00","29.9480749495476"
"2021-01-01 07:30:00"," 239","2021-01-01 07:30:00","2021-01-01 07:45:00","31.7970315305806"
"2021-01-01 07:45:00"," 240","2021-01-01 07:45:00","2021-01-01 08:00:00","35.5138420371492"
"2021-01-01 08:00:00"," 241","2021-01-01 08:00:00","2021-01-01 08:15:00","43.7402859262591"
"2021-01-01 08:15:00"," 242","2021-01-01 08:15:00","2021-01-01 08:30:00","45.6499749740336"
"2021-01-01 08:30:00"," 243","2021-01-01 08:30:00","2021-01-01 08:45:00","48.507246614685"
"2021-01-01 08:45:00"," 244","2021-01-01 08:45:00","2021-01-01 09:00:00","49.6830547822769"
"2021-01-01 09:00:00"," 245","2021-01-01 09:00:00","2021-01-01 09:15:00","47.5168365620914"
"2021-01-01 09:15:00"," 246","2021-01-01 09:15:00","2021-01-01 09:30:00","45.9916224460717"
"2021-01-01 09:30:00"," 247","2021-01-01 09:30:00","2021-01-01 09:45:00","57.5003142847634"
"2021-01-01 09:45:00"," 248","2021-01-01 09:45:00","2021-01-01 10:00:00","56.2728350947159"
"2021-01-01 10:00:00"," 249","2021-01-01 10:00:00","2021-01-01 10:15:00","54.0374449731838"
"2021-01-01 10:15:00"," 250","2021-01-01 10:15:00","2021-01-01 10:30:00","51.7570357614921"
"2021-01-01 10:30:00"," 251","2021-01-01 10:30:00","2021-01-01 10:45:00","49.5048976820604"
"2021-01-01 10:45:00"," 252","2021-01-01 10:45:00","2021-01-01 11:00:00","42.0947799472345"
"2021-01-01 11:00:00"," 253","2021-01-01 11:00:00","2021-01-01 11:15:00","42.6101444798845"
"2021-01-01 11:15:00"," 254","2021-01-01 11:15:00","2021-01-01 11:30:00","40.887914160544"
"2021-01-01 11:30:00"," 255","2021-01-01 11:30:00","2021-01-01 11:45:00","38.9918333547504"
"2021-01-01 11:45:00"," 256","2021-01-01 11:45:00","2021-01-01 12:00:00","39.6234139711113"
"2021-01-01 12:00:00"," 257","2021-01-01 12:00:00","2021-01-01 12:15:00","40.4474235853118"
"2021-01-01 12:15:00"," 258","2021-01-01 12:15:00","2021-01-01 12:30:00","41.2734006486159"
"2021-01-01 12:30:00"," 259","2021-01-01 12:30:00","2021-01-01 12:45:00","42.0879079245796"
"2021-01-01 12:45:00"," 260","2021-01-01 12:45:00","2021-01-01 13:00:00","40.2130447157342"
"2021-01-01 13:00:00"," 261","2021-01-01 13:00:00","2021-01-01 13:15:00","39.1076550081037"
"2021-01-01 13:15:00"," 262","2021-01-01 13:15:00","2021-01-01 13:30:00","51.6111782995252"
"2021-01-01 13:30:00"," 263","2021-01-01 13:30:00","2021-01-01 13:45:00","40.4696329617523"
"2021-01-01 13:45:00"," 264","2021-01-01 13:45:00","2021-01-01 14:00:00","39.4861973308388"
"2021-01-01 14:00:00"," 265","2021-01-01 14:00:00","2021-01-01 14:15:00","44.4035690885746"
"2021-01-01 14:15:00"," 266","2021-01-01 14:15:00","2021-01-01 14:30:00","41.7683602241135"
"2021-01-01 14:30:00"," 267","2021-01-01 14:30:00","2021-01-01 14:45:00","38.5412302457657"
"2021-01-01 14:45:00"," 268","2021-01-01 14:45:00","2021-01-01 15:00:00","40.4553281390849"
"2021-01-01 15:00:00"," 269","2021-01-01 15:00:00","2021-01-01 15:15:00","36.3387614187042"
"2021-01-01 15:15:00"," 270","2021-01-01 15:15:00","2021-01-01 15:30:00","43.159708224882"
"2021-01-01 15:30:00"," 271","2021-01-01 15:30:00","2021-01-01 15:45:00","52.4641633752204"
"2021-01-01 15:45:00"," 272","2021-01-01 15:45:00","2021-01-01 16:00:00","52.2499948745628"
"2021-01-01 16:00:00"," 273","2021-01-01 16:00:00","2021-01-01 16:15:00","51.2745374369208"
"2021-01-01 16:15:00"," 274","2021-01-01 16:15:00","2021-01-01 16:30:00","59.7066945242199"
"2021-01-01 16:30:00"," 275","2021-01-01 16:30:00","2021-01-01 16:45:00","79.3639983597352"
"2021-01-01 16:45:00"," 276","2021-01-01 16:45:00","2021-01-01 17:00:00","82.1558945177695"
"2021-01-01 17:00:00"," 277","2021-01-01 17:00:00","2021-01-01 17:15:00","85.5353598133074"
"2021-01-01 17:15:00"," 278","2021-01-01 17:15:00","2021-01-01 17:30:00","134.317287053"
"2021-01-01 17:30:00"," 279","2021-01-01 17:30:00","2021-01-01 17:45:00","186.424457328042"
"2021-01-01 17:45:00"," 280","2021-01-01 17:45:00","2021-01-01 18:00:00","279.114676693569"
"2021-01-01 18:00:00"," 281","2021-01-01 18:00:00","2021-01-01 18:15:00","315.82830558609"
"2021-01-01 18:15:00"," 282","2021-01-01 18:15:00","2021-01-01 18:30:00","246.985043298199"
